Order_id,Base,VFT,Sauce,Protein,Cooking time,Trait
1,rice,dragon fruit;raspberry;egg;dragon fruit;mushroom;kiwi,sweet soy,chicken,3,hat
2,salad,raspberry;mint;onion;raspberry;kiwi;beet;edamame,spicy mayo,salmon,5,glasses
3,quinoa,onion;lemon;beet;raspberry;dragon fruit;carrot;lemon;peas;beet;corn,yuzu,meat,6,hat
4,quinoa,beet;carrot;brocoli;brocoli;avocado;onion;onion;kiwi;kiwi;onion;avocado;melon;melon;dragon fruit,salty soy,salmon,4,hat
5,salad,egg;brocoli;edamame;mushroom;raspberry;avocado;kiwi;mushroom;lemon;dragon fruit;mint;kiwi;melon;beet;carrot,spicy mayo,tofu,3,hat
6,salad,cucumber;mint;lemon;mint;egg;dragon fruit;edamame;mushroom;melon;beet;melon;corn;beet;onion,yuzu,meat,10,hat
7,bulgur,peas;mushroom;edamame;raspberry;melon;dragon fruit;corn;lemon;edamame;peas;lemon;peas;melon;kiwi;mint,sweet soy,salmon,4,glasses
8,rice,mint;brocoli;beet;carrot;corn;mushroom;brocoli;edamame;egg;avocado;cucumber;avocado;onion,spicy mayo,meat,4,glasses
9,salad,brocoli;melon;dragon fruit;avocado;melon;onion;dragon fruit;onion;beet;beet;beet;brocoli;mushroom;cucumber;cucumber,spicy mayo,tofu,5,glasses
10,rice,kiwi;corn;corn;raspberry;brocoli;edamame;kiwi;mushroom;avocado;egg;peas;edamame,salty soy,tofu,7,hat
11,bulgur,lemon;onion;melon,sweet soy,tofu,6,glasses
12,quinoa,edamame;brocoli;mint;lemon;edamame;beet,salty soy,meat,10,hat
13,rice,peas;egg;onion;brocoli;edamame,yuzu,tofu,6,hat
14,bulgur,mint;cucumber;mint;melon;avocado;onion,salty soy,tofu,4,hat
15,rice,cucumber;avocado;lemon,spicy mayo,tofu,10,hat
16,bulgur,lemon;cucumber;carrot;onion;mint;mint;brocoli;raspberry;peas,salty soy,shrimp,10,glasses
17,salad,brocoli;melon;corn;edamame;mint;avocado;brocoli;beet;carrot;lemon;edamame,salty soy,chicken,8,glasses
18,rice,corn;edamame;cucumber;edamame;corn;raspberry;brocoli;corn;cucumber;dragon fruit;corn;corn;corn;raspberry,sweet soy,meat,8,hat
19,salad,corn;melon;carrot;mushroom;egg,salty soy,chicken,4,hat
20,bulgur,peas;brocoli;onion;peas;kiwi,sweet soy,tofu,5,glasses

