Order_id,Base,VFT,Sauce,Protein,Cooking time,Trait
1,bulgur,carrot;dragon fruit;onion;brocoli;peas;lemon;egg;mint;melon,salty soy,meat,6,hat
2,quinoa,edamame;mint;corn;carrot;lemon;beet;egg;avocado;peas;melon;kiwi;brocoli,sweet soy,salmon,7,glasses
3,salad,edamame;kiwi;peas;carrot;mint;raspberry;mushroom;melon;dragon fruit;lemon;egg;cucumber;brocoli,yuzu,meat,8,hat
4,bulgur,corn;mint;carrot;raspberry;onion;egg;brocoli;dragon fruit;cucumber;beet;mushroom,yuzu,shrimp,4,glasses
5,rice,egg;brocoli;lemon;peas;edamame;avocado;beet;mint;mushroom;cucumber;raspberry;kiwi;carrot,sweet soy,shrimp,9,hat
6,quinoa,peas;mint;beet;egg;cucumber;onion;avocado;carrot;raspberry;mushroom;corn;dragon fruit;brocoli,spicy mayo,chicken,9,glasses
7,quinoa,melon;edamame;brocoli;avocado;carrot;corn;beet;peas;kiwi;lemon;cucumber;mint;dragon fruit;egg,salty soy,shrimp,7,glasses
8,salad,corn;melon;cucumber;dragon fruit;raspberry;brocoli;egg;carrot;peas;kiwi;onion;mint;avocado;mushroom;beet,sweet soy,shrimp,10,glasses
9,quinoa,carrot;cucumber;corn;onion;avocado;mint;raspberry;mushroom;egg;kiwi;lemon,yuzu,tofu,7,hat
10,salad,raspberry;carrot;kiwi;melon;egg;beet;corn;onion;edamame,spicy mayo,shrimp,10,glasses
11,salad,mushroom;egg;peas;melon;dragon fruit;kiwi;raspberry;lemon;mint;beet;carrot;onion;cucumber,sweet soy,shrimp,3,glasses
12,rice,onion;edamame;beet;raspberry,yuzu,meat,10,glasses
13,quinoa,peas;brocoli;beet;melon;edamame,sweet soy,meat,7,hat
14,bulgur,peas;corn;melon;onion;dragon fruit;raspberry;lemon;cucumber;mint;carrot;edamame,salty soy,tofu,3,hat
15,bulgur,kiwi;mushroom;carrot;raspberry;avocado;dragon fruit;melon;egg;mint;brocoli,sweet soy,shrimp,5,hat
16,quinoa,kiwi;egg;raspberry;cucumber;lemon;beet;melon;carrot;dragon fruit,salty soy,meat,10,hat
17,rice,raspberry;melon;cucumber;beet;brocoli;corn;mint;kiwi;egg;peas;onion;edamame;carrot;mushroom,spicy mayo,meat,8,glasses
18,quinoa,onion;carrot;peas;brocoli;edamame;lemon;mushroom;mint;melon;cucumber,salty soy,meat,4,glasses
19,salad,avocado;beet;mint;cucumber;edamame;melon;raspberry,yuzu,salmon,9,glasses
20,salad,dragon fruit;melon;beet;lemon;mint;edamame;kiwi;mushroom;avocado;brocoli,salty soy,tofu,10,hat
